statusId | label
100|press
statusId|sensorName|value|timestamp
100|LPS22H Barometer Sensor|[1014.58936]|1589445942377
100|LPS22H Barometer Sensor|[1014.5979]|1589445942477
100|LPS22H Barometer Sensor|[1014.60376]|1589445942578
100|LPS22H Barometer Sensor|[1014.595]|1589445942678
100|LPS22H Barometer Sensor|[1014.5913]|1589445942778
100|LPS22H Barometer Sensor|[1014.594]|1589445942878
100|LPS22H Barometer Sensor|[1014.5908]|1589445942978
100|LPS22H Barometer Sensor|[1014.5867]|1589445943079
100|LPS22H Barometer Sensor|[1014.59326]|1589445943179
100|LPS22H Barometer Sensor|[1014.59375]|1589445943279
100|LPS22H Barometer Sensor|[1014.5969]|1589445943380
100|LPS22H Barometer Sensor|[1014.5913]|1589445943480
100|LPS22H Barometer Sensor|[1014.58936]|1589445943580
100|LPS22H Barometer Sensor|[1014.595]|1589445943680
100|LPS22H Barometer Sensor|[1014.59814]|1589445943780
100|LPS22H Barometer Sensor|[1014.59985]|1589445943881
100|LPS22H Barometer Sensor|[1014.5979]|1589445943981
100|LPS22H Barometer Sensor|[1014.59595]|1589445944081
100|LPS22H Barometer Sensor|[1014.59546]|1589445944180
100|LPS22H Barometer Sensor|[1014.59546]|1589445944280
100|LPS22H Barometer Sensor|[1014.5967]|1589445944381
100|LPS22H Barometer Sensor|[1014.5989]|1589445944481
100|LPS22H Barometer Sensor|[1014.5989]|1589445944581
100|LPS22H Barometer Sensor|[1014.59937]|1589445944681
100|LPS22H Barometer Sensor|[1014.5991]|1589445944781
100|LPS22H Barometer Sensor|[1014.5991]|1589445944882
100|LPS22H Barometer Sensor|[1014.59033]|1589445944982
100|LPS22H Barometer Sensor|[1014.5957]|1589445945082
100|LPS22H Barometer Sensor|[1014.5957]|1589445945182
100|LPS22H Barometer Sensor|[1014.60254]|1589445945281
100|LPS22H Barometer Sensor|[1014.5996]|1589445945382
100|LPS22H Barometer Sensor|[1014.5935]|1589445945482
100|LPS22H Barometer Sensor|[1014.59863]|1589445945582
100|LPS22H Barometer Sensor|[1014.5969]|1589445945683
100|LPS22H Barometer Sensor|[1014.5979]|1589445945783
100|LPS22H Barometer Sensor|[1014.5947]|1589445945883
100|LPS22H Barometer Sensor|[1014.59766]|1589445945983
100|LPS22H Barometer Sensor|[1014.59424]|1589445946083
100|LPS22H Barometer Sensor|[1014.5879]|1589445946184
100|LPS22H Barometer Sensor|[1014.5925]|1589445946284
100|LPS22H Barometer Sensor|[1014.59717]|1589445946384
100|LPS22H Barometer Sensor|[1014.5996]|1589445946484
100|LPS22H Barometer Sensor|[1014.6084]|1589445946584
100|LPS22H Barometer Sensor|[1014.6033]|1589445946685
100|LPS22H Barometer Sensor|[1014.60474]|1589445946785
100|LPS22H Barometer Sensor|[1014.61084]|1589445946885
100|LPS22H Barometer Sensor|[1014.61084]|1589445946985
100|LPS22H Barometer Sensor|[1014.6089]|1589445947085
100|LPS22H Barometer Sensor|[1014.60254]|1589445947186
100|LPS22H Barometer Sensor|[1014.6096]|1589445947287
100|LPS22H Barometer Sensor|[1014.60376]|1589445947387
100|LPS22H Barometer Sensor|[1014.60645]|1589445947487
100|LPS22H Barometer Sensor|[1014.60645]|1589445947587
100|LPS22H Barometer Sensor|[1014.60986]|1589445947687
100|LPS22H Barometer Sensor|[1014.60693]|1589445947787
100|LPS22H Barometer Sensor|[1014.60693]|1589445947887
100|LPS22H Barometer Sensor|[1014.6074]|1589445947988
100|LPS22H Barometer Sensor|[1014.603]|1589445948088
100|LPS22H Barometer Sensor|[1014.603]|1589445948188
100|LPS22H Barometer Sensor|[1014.60156]|1589445948288
100|LPS22H Barometer Sensor|[1014.60376]|1589445948389
100|LPS22H Barometer Sensor|[1014.60376]|1589445948489
