TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
10444;7.85;-5.86;-0.68;-2.09;0.01;-0.87
10549;7.87;-5.91;-0.75;-2.20;0.17;-1.16
10653;7.83;-5.85;-0.65;-2.25;-0.15;-1.12
10758;7.86;-5.87;-0.73;-2.08;0.08;-1.04
10862;7.41;-5.83;-0.74;-2.14;0.15;-4.21
10966;7.41;-5.83;-0.74;-2.14;0.15;-4.21
11070;8.04;-5.82;-0.69;-2.02;-0.03;-6.04
11172;8.04;-5.82;-0.69;-2.02;-0.03;-6.04
11277;8.06;-5.57;-0.65;-2.04;0.01;-6.15
11381;8.15;-5.57;-0.74;-2.05;-0.10;-5.97
11486;8.21;-5.43;-0.62;-0.01;-0.01;-0.01
11590;8.25;-5.44;-0.60;-2.09;-0.15;-0.01
11695;8.20;-5.33;-0.68;-1.98;0.20;-6.18
11799;8.32;-5.29;-0.64;-2.03;-0.02;-6.01
11904;8.42;-5.18;-0.73;-2.04;-0.08;-6.10
12008;8.42;-5.07;-0.75;-2.12;-0.13;-6.07
12112;8.41;-5.05;-0.73;-2.01;-0.02;-6.19
12217;8.51;-4.93;-0.69;-1.79;0.07;-6.03
12321;8.63;-4.87;-0.62;-1.98;0.17;-6.10
12426;8.50;-4.78;-0.75;-2.10;0.04;-6.11
12530;8.71;-4.70;-0.67;-2.29;-0.15;-5.99
12635;8.76;-4.65;-0.70;-2.14;0.03;-6.25
12739;8.84;-4.50;-0.64;-2.10;-0.19;-5.97
12844;8.83;-4.55;-0.69;-2.04;-0.01;-6.09
12948;8.79;-4.37;-0.63;-2.06;0.01;-6.08
13052;8.82;-4.30;-0.72;-2.03;-0.26;-6.04
13157;8.83;-4.23;-0.66;-2.04;-0.02;-6.20
13261;9.00;-4.14;-0.56;-2.19;0.10;-5.97
13366;9.07;-4.06;-0.60;-1.98;-0.11;-6.09
13470;9.07;-4.01;-0.51;-2.18;0.02;-6.04
13575;9.21;-3.93;-0.64;-1.97;0.01;-6.06
13679;9.13;-3.83;-0.61;-2.18;-0.02;-6.07
13784;9.16;-3.74;-0.72;-2.16;-0.04;-6.01
13888;9.17;-3.65;-0.70;-2.23;0.04;-6.13
13992;9.29;-3.58;-0.62;-1.95;0.00;-6.06
14097;9.31;-3.49;-0.63;-1.90;0.11;-6.09
14201;9.34;-3.41;-0.69;-2.10;-0.06;-6.03
14306;9.34;-3.32;-0.68;-2.03;-0.11;-6.13
14410;9.40;-3.31;-0.59;-2.04;-0.31;-6.23
14515;9.37;-3.20;-0.64;-2.04;-0.02;-6.08
14619;9.39;-3.08;-0.70;-1.98;0.18;-6.27
14724;9.33;-3.01;-0.63;-1.94;0.14;-6.14
14828;9.39;-2.89;-0.64;-3.92;-1.97;-1.97
14932;9.49;-2.80;-0.70;-2.05;0.10;-6.22
15037;9.57;-2.77;-0.62;-0.01;-0.01;-0.01
15141;9.56;-0.00;-0.00;-0.01;-0.01;-0.01
15246;9.62;-2.54;-0.65;-2.18;0.02;-6.16
15350;9.58;-2.45;-0.58;-1.96;-0.01;-0.01
15455;9.57;-2.34;-0.80;-2.05;0.11;-5.99
15559;9.62;-2.24;-0.72;-2.22;-0.08;-5.97
15664;9.63;-2.20;-0.75;-2.03;-0.03;-6.12
15768;9.66;-0.00;-0.00;-0.01;-0.01;-0.01
15872;9.66;-2.04;-0.66;-1.99;-0.21;-5.85
15976;9.71;-1.94;-0.72;-2.12;-0.02;-5.87
16080;9.69;-1.89;-0.72;-2.11;0.15;-6.10
16185;9.79;-1.83;-0.69;-2.12;-0.27;-6.26
16289;9.84;-1.69;-0.69;-2.08;0.00;-6.20
16394;9.75;-1.60;-0.64;-2.10;0.01;-6.10
16498;9.76;-1.52;-0.67;-2.02;-0.34;-5.94
16603;9.85;-1.39;-0.66;-2.04;-0.15;-6.16
16707;9.88;-1.30;-0.63;-2.00;-0.02;-6.03
16812;9.82;-1.28;-0.69;-2.17;-0.08;-6.22
16916;9.96;-1.15;-0.69;-1.99;0.04;-5.96
17020;9.87;-1.04;-0.64;-2.02;-0.18;-6.07
17125;9.88;-0.99;-0.73;-2.10;-0.20;-6.14
17229;9.91;-0.93;-0.69;-2.11;0.01;-5.90
17334;9.89;-0.84;-0.64;-2.07;0.01;-5.93
17438;9.99;-0.73;-0.63;-2.09;0.08;-6.07
17543;9.90;-0.64;-0.64;-2.13;-0.09;-5.94
17647;9.96;-0.54;-0.66;-2.18;-0.21;-6.19
17752;9.92;-0.47;-0.81;-2.03;-0.17;-6.05
17856;9.95;-0.41;-0.63;-1.95;-0.07;-6.13
17960;9.94;-0.27;-0.63;-2.09;-0.08;-6.21
18065;9.93;-0.12;-0.64;-2.02;-0.09;-6.03
18169;9.98;-0.12;-0.65;-1.94;-0.06;-6.03
18274;9.94;-0.02;-0.77;-2.08;-0.11;-6.07
18378;9.97;0.09;-0.64;-1.95;-0.05;-6.02
18483;9.95;0.14;-0.75;-2.07;0.20;-6.02
18587;9.95;0.21;-0.66;-2.08;-0.01;-5.94
18692;9.94;0.34;-0.75;-1.98;0.03;-6.05
18796;9.87;0.47;-0.71;-2.17;-0.11;-6.00
18900;9.92;0.55;-0.73;-2.23;0.14;-6.05
19005;9.95;0.61;-0.73;-2.04;-0.25;-6.20
19109;10.05;0.75;-0.65;-1.98;-0.16;-6.03
19214;10.01;0.82;-0.67;-2.04;-0.08;-6.12
19318;9.99;0.90;-0.86;-1.98;-0.19;-6.05
19423;9.97;0.97;-0.73;-2.08;-0.08;-6.09
19527;9.95;1.05;-0.67;-2.08;-0.14;-6.15
19632;9.86;1.16;-0.74;-1.95;-0.01;-6.00
19736;9.88;1.27;-0.70;-2.59;-1.97;-1.97
19841;9.91;1.32;-0.72;-2.21;0.02;-5.97
19945;9.91;1.41;-0.67;-0.01;-0.01;-0.01
20049;9.78;1.44;-0.65;-1.98;0.01;-5.93
20154;9.86;1.55;-0.69;-1.98;-0.02;-6.23
20258;9.79;1.68;-0.68;-2.12;-0.05;-6.13
20363;9.88;1.84;-0.00;-0.01;-0.01;-0.01
20467;9.68;1.88;-0.70;-2.25;0.03;-6.02
20572;9.77;1.95;-0.66;-2.01;-0.05;-6.21
20676;9.73;2.07;-0.72;-2.02;-0.10;-6.13
20781;9.80;2.07;-0.69;-2.08;-0.08;-5.99
20885;9.77;2.22;-0.73;-2.00;-0.02;-6.01
20989;9.72;2.31;-0.72;-2.00;0.05;-5.95
21093;9.61;2.47;-0.76;-1.85;-0.02;-5.84
21197;9.68;2.44;-0.15;-1.97;-1.97;-1.97
21302;9.60;2.61;-0.73;-1.97;-0.07;-6.12
21406;9.56;2.64;-0.79;-2.15;0.13;-6.03
21511;9.55;2.77;-0.67;-2.19;-0.27;-6.15
21615;9.51;2.84;-0.76;-1.98;0.03;-6.07
21720;9.47;2.86;-0.70;-2.04;-0.11;-5.97
21824;9.60;2.95;-0.69;-2.15;-0.11;-6.07
21928;9.50;3.02;-0.62;-2.16;0.14;-6.03
22033;9.51;3.14;-0.67;-1.99;-0.01;-5.97
22137;9.42;3.31;-0.81;-1.96;-0.25;-6.07
22242;9.45;3.31;-0.74;-2.18;-0.19;-6.07
22346;9.38;3.40;-0.70;-2.17;-0.06;-6.03
22451;9.41;3.48;-0.67;-2.20;-0.02;-6.00
22555;9.37;3.56;-0.59;-1.99;0.08;-6.01
22660;9.30;3.69;-0.65;-2.02;-0.05;-5.95
22764;9.32;3.75;-0.75;-2.04;-0.06;-5.92
22868;9.25;3.84;-0.71;-2.14;0.07;-6.07
22973;9.23;3.93;-0.68;-2.20;-0.31;-6.10
23077;9.21;4.01;-0.79;-1.93;-0.16;-6.23
23182;9.15;4.13;-0.65;-2.04;-0.05;-6.06
23286;9.11;4.17;-0.74;-1.83;0.07;-6.04
23391;8.99;4.26;-0.71;-2.15;0.15;-6.05
23495;9.03;4.35;-0.71;-2.21;-0.08;-6.13
23600;8.97;4.44;-0.73;-2.03;-0.06;-6.29
23704;8.92;4.55;-0.76;-2.07;0.06;-6.01
23809;8.92;4.54;-0.69;-2.23;-0.12;-6.18
