TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
10860;-0.07;0.17;9.08;-2.30;0.02;-1.06
10964;-0.06;0.19;9.10;-2.00;0.01;-1.07
11069;-0.13;0.16;9.11;-2.04;0.08;-1.11
11173;-0.14;0.16;9.12;-2.24;-0.05;-1.05
11278;-0.07;0.23;9.04;-2.19;0.07;-1.05
11382;-0.10;0.15;9.03;-2.16;-0.03;-0.96
11487;-0.08;0.21;9.17;-2.15;-0.02;-1.02
11591;-0.14;0.12;9.14;-2.26;0.20;-1.15
11696;-0.07;0.18;9.20;-2.12;-0.02;-0.97
11800;-0.11;0.18;9.05;-2.08;-0.13;-1.10
11905;-0.10;0.19;9.09;-2.13;0.14;-1.09
12009;-0.12;0.16;9.01;-2.11;0.13;-0.97
12113;-0.12;0.19;9.10;-2.19;0.16;-1.01
12218;-0.07;0.18;9.21;-2.20;-0.03;-1.13
12322;-0.06;0.22;9.07;-2.17;-0.05;-1.15
12427;-0.06;0.20;9.05;-2.17;-0.01;-1.26
12531;-0.10;0.18;9.15;-2.11;0.07;-0.89
12635;-0.07;0.23;9.13;-2.06;-0.12;-1.10
12739;-0.13;0.16;9.07;-1.93;0.04;-1.14
12844;-0.05;0.20;9.09;-2.27;0.18;-0.96
12948;-0.12;0.25;9.06;-2.00;-0.08;-1.14
13052;-0.07;0.22;9.12;-2.27;-0.18;-1.11
13157;-0.11;0.15;9.01;-2.13;-0.05;-1.08
13261;-0.06;0.23;9.08;-2.16;0.14;-1.11
13366;-0.00;0.23;9.04;-2.10;-0.03;-1.00
13470;-0.09;0.18;9.10;-2.12;0.07;-1.14
13575;-0.06;0.17;9.04;-2.24;0.10;-1.13
13679;-0.04;0.15;9.07;-2.06;-0.21;-1.19
13784;-0.05;0.17;9.06;-2.23;0.05;-1.08
13888;-0.04;0.21;9.09;-2.20;0.02;-1.05
13992;-0.08;0.16;9.06;-2.14;0.01;-1.17
14097;-0.04;0.20;9.13;-2.02;-0.05;-1.05
14201;-0.09;0.20;9.15;-2.20;-0.18;-1.08
14306;-0.07;0.19;9.18;-2.23;0.21;-1.07
14410;-0.03;0.18;9.14;-2.20;-0.02;-1.05
14515;-0.07;0.24;9.07;-2.30;0.14;-0.89
14619;-0.09;0.15;9.10;-2.01;0.08;-0.92
14724;-0.08;0.24;9.05;-2.11;-0.11;-1.17
14828;-0.09;0.18;9.11;-2.08;0.16;-1.15
14932;-0.06;0.20;9.08;-2.24;0.18;-0.96
15037;-0.07;0.16;9.13;-2.24;0.14;-1.16
15141;-0.06;0.14;9.05;-2.20;0.19;-1.21
15246;-0.07;0.16;9.08;-2.17;-0.11;-0.98
15350;-0.08;0.21;9.18;-2.08;0.14;-1.06
15454;-0.08;0.15;9.15;-2.23;0.05;-0.96
15558;-0.10;0.18;9.17;-2.17;0.11;-1.01
15663;-0.12;0.20;9.08;-2.14;0.14;-1.13
15767;-0.12;0.20;9.04;-2.14;0.07;-1.10
15872;-0.03;0.18;9.12;-2.28;0.11;-1.06
15976;-0.05;0.22;9.08;-2.04;0.04;-1.05
16080;-0.09;0.19;9.08;-2.32;0.17;-1.12
16185;-0.11;0.18;9.00;-2.08;0.03;-1.15
16289;-0.10;0.14;9.12;-2.16;0.03;-1.03
16394;-0.13;0.15;9.06;-2.00;0.02;-1.08
16498;-0.06;0.13;9.06;-2.15;0.06;-1.06
16603;-0.08;0.19;9.09;-2.02;-0.14;-1.01
16707;-0.06;0.22;9.09;-2.26;-0.15;-0.98
16812;-0.08;0.19;9.10;-2.07;-0.13;-1.24
16916;-0.08;0.19;9.00;-2.20;0.00;-1.19
17020;-0.03;0.16;9.10;-2.16;0.17;-1.20
17125;-0.12;0.12;9.11;-2.26;0.02;-1.11
17229;-0.11;0.21;9.14;-2.08;-0.08;-1.11
17334;-0.05;0.19;9.01;-2.09;-0.10;-1.09
17438;-0.04;0.20;9.08;-2.24;0.20;-1.08
17543;-0.06;0.17;9.13;-2.29;-0.01;-1.10
17647;-0.07;0.19;9.08;-2.15;0.08;-1.03
17752;-0.05;0.18;9.20;-2.37;0.09;-1.12
17856;-0.06;0.18;9.15;-2.24;-0.02;-1.13
17959;-0.07;0.14;9.13;-2.11;-0.04;-1.09
18064;-0.12;0.20;9.00;-2.12;0.13;-1.15
18168;-0.06;0.18;9.06;-2.14;0.10;-1.08
18273;-0.08;0.13;9.10;-2.08;0.21;-1.08
18377;-0.03;0.21;9.15;-2.17;0.02;-0.96
18482;-0.10;0.19;8.98;-2.17;0.15;-0.95
18586;-0.05;0.18;9.12;-2.13;0.12;-1.10
18691;-0.01;0.19;9.09;-2.15;0.21;-0.97
18795;-0.08;0.19;9.12;-2.20;0.08;-1.11
18899;-0.11;0.20;9.02;-2.14;0.24;-1.19
19004;-0.14;0.20;9.12;-2.33;-0.24;-1.14
19108;-0.10;0.19;9.10;-2.14;0.12;-1.06
19213;-0.11;0.17;9.11;-2.20;-0.02;-0.80
19317;-0.07;0.20;9.13;-2.21;0.00;-1.01
19422;-0.02;0.16;9.10;-2.27;0.20;-1.16
19526;-0.11;0.22;9.09;-2.11;0.00;-1.08
19631;-0.00;0.15;9.14;-2.33;0.15;-1.18
19735;-0.07;0.19;9.10;-2.29;0.12;-1.08
19840;-0.14;0.13;9.04;-2.25;-0.01;-1.14
19944;-0.04;0.17;9.05;-2.17;-0.10;-1.12
20048;-0.11;0.19;9.02;-2.11;0.14;-1.10
20153;-0.06;0.13;9.08;-2.20;0.07;-1.06
20257;-0.03;0.21;9.08;-2.17;-0.08;-1.13
20362;-0.12;0.18;9.15;-2.22;0.11;-1.16
20466;-0.02;0.18;9.10;-2.05;0.14;-1.11
20571;-0.13;0.21;9.13;-2.26;-0.06;-1.11
20675;-0.03;0.19;9.02;-2.24;0.18;-1.05
20779;-0.07;0.18;9.07;-2.00;-0.09;-1.05
20883;-0.06;0.21;9.06;-2.29;0.02;-1.14
20987;-0.04;0.18;9.03;-2.10;0.09;-0.89
21092;-0.06;0.23;9.07;-2.19;0.16;-1.24
21196;-0.10;0.15;9.11;-2.19;0.15;-1.11
21301;-0.12;0.19;9.03;-2.11;0.01;-1.14
21405;-0.10;0.23;9.07;-2.10;0.11;-0.98
21510;-0.07;0.15;9.08;-2.12;0.05;-1.07
21614;-0.14;0.20;9.09;-2.14;0.06;-1.14
21719;-0.03;0.17;9.11;-2.26;0.05;-1.01
21823;-0.06;0.16;9.13;-2.10;0.00;-1.16
21927;-0.08;0.20;9.13;-2.13;-0.10;-1.11
22032;-0.06;0.22;9.21;-2.29;-0.11;-1.08
22136;-0.09;0.16;9.07;-2.28;0.02;-1.00
22241;-0.06;0.16;9.08;-2.13;-0.08;-1.17
22345;-0.05;0.20;9.15;-2.09;0.02;-1.10
22450;-0.04;0.22;9.08;-2.33;0.13;-1.16
