TIME;ACC_X;ACC_Y;ACC_Z;GYR_X;GYR_Y;GYR_Z
10861;-0.07;0.51;9.03;-2.24;-0.02;-1.14
10966;0.01;-0.03;9.14;-2.06;0.66;-1.24
11070;-0.36;0.46;9.03;-2.33;1.38;-0.91
11174;0.18;0.63;8.72;-2.04;-2.48;-0.99
11279;0.20;0.00;9.67;-2.36;-0.11;-1.08
11383;-0.37;0.29;9.61;-2.34;0.79;-0.85
11488;-0.45;-0.10;10.01;-1.95;-0.02;-0.95
11592;0.06;0.39;8.86;-2.31;-1.42;-1.23
11697;0.74;0.16;9.69;-1.88;-0.69;-1.37
11801;1.05;0.70;7.71;-2.86;-0.78;-0.97
11906;0.04;0.14;8.72;-1.83;0.29;-1.30
12010;-0.23;0.39;9.34;-1.66;-0.94;-1.28
12114;0.07;0.22;8.30;-2.59;1.21;-1.08
12219;-0.18;0.48;8.88;-2.11;1.11;-1.56
12323;0.18;-0.05;8.91;-2.30;1.27;-1.31
12428;0.62;0.07;8.24;-2.14;-1.55;-1.21
12532;-0.39;-0.06;9.35;-2.28;1.63;-0.79
12637;-0.53;0.33;8.74;-2.88;2.22;-0.95
12741;0.23;0.32;8.06;-2.75;1.69;-1.16
12846;-0.35;-0.10;8.67;-2.37;1.85;-0.89
12949;-0.32;-0.12;8.80;-2.37;1.00;-1.02
13053;-0.70;0.21;9.17;-2.39;0.50;-0.92
13158;0.33;0.50;9.31;-2.17;-0.46;-1.10
13262;-0.33;-0.13;9.41;-2.13;-0.35;-1.15
13367;-0.42;0.20;8.48;-2.50;1.08;-1.03
13471;-0.44;-0.11;9.65;-2.54;1.24;-0.89
13576;-0.50;0.02;8.78;-2.27;-0.07;-1.21
13680;0.34;-0.09;9.07;-1.98;0.04;-1.03
13785;-0.30;-0.04;9.36;-2.15;-0.12;-1.10
13889;-0.51;0.00;9.06;-2.05;-1.89;-1.07
13993;-0.17;0.29;9.73;-2.30;1.40;-1.24
14098;-0.08;0.32;8.88;-2.48;1.78;-0.95
14202;0.48;0.28;8.65;-2.19;0.53;-1.09
14307;-0.35;0.18;9.29;-1.24;-1.88;-1.24
14411;0.27;0.24;7.83;-2.69;0.15;-0.96
14516;-0.14;-0.06;9.42;-1.98;0.76;-0.89
14620;-0.31;0.17;9.02;-2.36;-0.43;-1.11
14725;0.14;0.07;9.27;-2.04;0.25;-1.30
14829;0.29;0.07;9.01;-2.43;-0.06;-1.11
14934;-0.07;0.11;9.11;-2.16;-0.36;-1.17
15038;-0.57;0.39;9.12;-2.61;0.98;-1.19
15142;0.16;0.44;8.68;-2.49;0.31;-1.11
15247;-0.27;0.23;8.86;-2.39;0.57;-0.85
15351;0.40;0.41;9.45;-2.31;-0.24;-1.20
15456;-0.52;0.12;9.54;-1.43;-5.02;-1.25
15560;-0.27;0.13;9.28;-2.13;-0.11;-1.07
15665;0.42;0.65;8.06;-2.24;0.21;-1.01
15769;-0.38;0.17;9.17;-2.32;0.77;-1.08
15874;-0.46;-0.36;9.88;-2.19;-0.62;-0.81
15978;-0.52;0.17;9.30;-2.53;0.01;-0.78
16082;-0.26;0.12;9.31;-2.19;0.87;-1.27
16187;-0.45;0.17;9.91;-2.37;-0.40;-1.16
16291;-0.56;-0.05;9.41;-2.02;1.79;-0.87
16396;0.17;0.38;9.53;-2.40;-1.83;-1.18
16500;0.42;0.23;8.68;-2.01;2.01;-1.19
16605;-0.34;0.13;9.88;-1.75;-0.69;-0.91
16709;0.58;0.43;8.68;-2.31;0.09;-1.21
16814;-0.47;0.31;9.38;-2.08;0.52;-0.92
16917;-0.47;-0.08;9.00;-2.24;1.48;-0.94
17021;0.08;0.19;8.22;-2.33;1.44;-0.79
17126;0.23;0.43;7.79;-2.51;0.09;-1.04
17230;-0.16;-0.28;9.57;-2.31;0.37;-0.79
17335;0.40;0.35;7.60;-2.07;-0.46;-1.17
17439;0.59;0.04;8.14;-2.01;-0.09;-0.93
17544;-0.33;0.41;9.61;-1.96;-2.11;-1.30
17648;-0.35;-0.23;9.90;-2.34;1.62;-0.99
17753;-0.56;0.14;9.69;-2.21;-0.75;-1.05
17857;-0.23;0.40;7.97;-3.00;3.19;-0.86
17961;-0.64;0.10;10.20;-1.83;0.20;-1.02
